country,year,total_cases,total_deaths
Lithuania,2022,404865273,3272732
Lithuania,2023,482467963,3528904
Lithuania,2024,296233535,2126455
Low-income countries,2020,41206392,1212402
Low-income countries,2021,336333594,8847607
Low-income countries,2022,661436099,15457987
Low-income countries,2023,701131593,15844006
Low-income countries,2024,421350446,9443014
Lower-middle-income countries,2020,1613070789,31970677
Lower-middle-income countries,2021,14863169552,243854177
Lower-middle-income countries,2022,31012811087,419979472
Lower-middle-income countries,2023,33434257359,432234985
Lower-middle-income countries,2024,19949756239,257775014
Luxembourg,2020,2706049,31553
Luxembourg,2021,23499653,186541
Luxembourg,2022,101245545,309314
Luxembourg,2023,139104207,363432
Luxembourg,2024,84942954,217000
Macao,2021,0,0
Macao,2022,0,0
Macao,2023,0,0
Madagascar,2020,2661973,35353
Madagascar,2021,13191601,267728
Madagascar,2022,23566618,501485
Madagascar,2023,24893765,519727
Madagascar,2024,14869800,309577
Malawi,2020,960125,28562
Malawi,2021,15880339,549963
Malawi,2022,31485478,961489
Malawi,2023,32400391,980369
Malawi,2024,19349456,582862
Malaysia,2020,5871700,47461
Malaysia,2021,428056900,4194943
Malaysia,2022,1582424823,12849398
Malaysia,2023,1860506594,13536702
Malaysia,2024,1145730571,8103888
Maldives,2020,1737447,6141
Maldives,2021,21287506,59006
Maldives,2022,63365008,109391
Maldives,2023,68030603,114696
Maldives,2024,40512598,68572
Mali,2020,709322,30209
Mali,2021,4875021,176975
Mali,2022,11322596,266590
Mali,2023,12077357,271195
Mali,2024,7196660,161231
Malta,2020,919320,11481
Malta,2021,11435137,152589
Malta,2022,35472490,269216
Malta,2023,43464840,315926
Malta,2024,26377578,196528
Marshall Islands,2020,181,0
Marshall Islands,2021,1460,0
Marshall Islands,2022,2012070,2268
Marshall Islands,2023,5833992,6205
Marshall Islands,2024,3512808,3689
Martinique,2020,437711,5621
Martinique,2021,8168449,101740
Martinique,2022,63748108,351265
Martinique,2023,83890651,401322
Martinique,2024,49986818,239568
Mauritania,2020,1462743,71881
Mauritania,2021,9353692,211758
Mauritania,2022,21932666,357477
Mauritania,2023,23230091,363905
Mauritania,2024,13854961,216349
Mauritius,2020,103344,2689
Mauritius,2021,6346267,37688
Mauritius,2022,81123371,356306
Mauritius,2023,111436386,383302
Mauritius,2024,71046670,232350
Mayotte,2020,822880,9139
Mayotte,2021,6624790,56343
Mayotte,2022,13846120,68225
Mayotte,2023,15337370,68255
Mayotte,2024,9119859,40579
Mexico,2020,157312091,18353080
Mexico,2021,1039445357,89674958
Mexico,2022,2291152257,118859546
Mexico,2023,2758790710,121827918
Mexico,2024,1652243260,72558603
Micronesia (country),2020,0,0
Micronesia (country),2021,0,0
Micronesia (country),2022,2439920,6440
Micronesia (country),2023,9414702,23249
Micronesia (country),2024,5908976,14105
Moldova,2020,11772036,287702
Moldova,2021,94391151,2373846
Moldova,2022,193628739,4195533
Moldova,2023,225709992,4413830
Moldova,2024,137804154,2652511
Monaco,2020,49992,400
Monaco,2021,923856,10860
Monaco,2022,4701129,21010
Monaco,2023,6148509,24385
Monaco,2024,3728277,14539
Mongolia,2020,87925,12
Mongolia,2021,77728848,248215
Mongolia,2022,339230277,769146
Mongolia,2023,368547902,779640
Mongolia,2024,219481487,463512
Montenegro,2020,1972558,31555
Montenegro,2021,37582252,535948
Montenegro,2022,79449999,927739
Montenegro,2023,91253282,965805
Montenegro,2024,54527760,575918
Montserrat,2020,3306,250
Montserrat,2021,9452,365
Montserrat,2022,300716,1975
Montserrat,2023,512095,2920
Montserrat,2024,304451,1736
Morocco,2020,30092799,510263
Morocco,2021,242958116,3950052
Morocco,2022,438723883,5854304
Morocco,2023,465324747,5948296
Morocco,2024,277541102,3537896
Mozambique,2020,1556925,11757
Mozambique,2021,36002788,434997
Mozambique,2022,82652666,803299
Mozambique,2023,85153314,819108
Mozambique,2024,50732570,488644
Myanmar,2020,6307654,137983
Myanmar,2021,102197141,3326278
Myanmar,2022,221037775,7089597
Myanmar,2023,232987058,7114806
Myanmar,2024,139343129,4230198
Namibia,2020,1747034,18349
Namibia,2021,31060699,703163
Namibia,2022,59593877,1470706
Namibia,2023,62637792,1494550
Namibia,2024,37409992,891070
Nauru,2020,0,0
Nauru,2021,0,0
Nauru,2022,846398,182
Nauru,2023,1928965,365
Nauru,2024,1170281,217
Nepal,2020,20465536,176343
Nepal,2021,205475497,2740480
Nepal,2022,356406215,4358368
Nepal,2023,365988952,4390055
Nepal,2024,217748650,2610727
Netherlands,2020,49393941,1842107
Netherlands,2021,628998522,6326702
Netherlands,2022,2774769347,8138972
Netherlands,2023,3143078283,8389890
Netherlands,2024,1874025115,4987962
New Caledonia,2020,6749,0
New Caledonia,2021,1108388,23730
New Caledonia,2022,22227140,112329
New Caledonia,2023,29211012,114610
New Caledonia,2024,17383689,68138
New Zealand,2020,370635,5893
New Zealand,2021,1431909,10416
New Zealand,2022,427527735,469484
New Zealand,2023,837812304,1097842
New Zealand,2024,553838333,855179
Nicaragua,2020,759055,27441
Nicaragua,2021,2910926,69454
Nicaragua,2022,5324221,86400
Nicaragua,2023,5785291,89425
Nicaragua,2024,3503045,53165
Niger,2020,319450,23745
Niger,2021,2018625,71265
Niger,2022,3298612,112526
Niger,2023,3472415,114975
Niger,2024,2064954,68355
Nigeria,2020,10903292,207688
Nigeria,2021,63719093,820405
Nigeria,2022,94561749,1146723
Nigeria,2023,97389423,1151575
Nigeria,2024,57979796,684635
Niue,2020,0,0
Niue,2021,0,0
Niue,2022,17962,0
Niue,2023,294993,0
Niue,2024,227609,0
North America,2020,1952655395,69168295
North America,2021,15458120387,338000771
North America,2022,37516525787,527868282
North America,2023,45136843095,585123249
North America,2024,27009525567,360475480
North Korea,2020,0,0
North Korea,2021,0,0
North Korea,2022,0,0
North Korea,2023,0,0
North Korea,2024,0,0
North Macedonia,2020,5631750,207988
North Macedonia,2021,57144108,2116011
North Macedonia,2022,115200682,3497082
North Macedonia,2023,127147756,3625990
North Macedonia,2024,76074207,2164609
Northern Cyprus,2021,0,0
Northern Cyprus,2022,0,0
Northern Ireland,2020,0,0
Northern Ireland,2021,0,0
Northern Ireland,2022,0,0
Northern Ireland,2023,0,0
Northern Mariana Islands,2020,15121,535
Northern Mariana Islands,2021,128069,931
Northern Mariana Islands,2022,4046926,12534
Northern Mariana Islands,2023,5099582,14965
Northern Mariana Islands,2024,3168106,8897
Norway,2020,4307945,70257
Norway,2021,53558438,294627
Norway,2022,484318309,1186113
Norway,2023,542365210,2005996
Norway,2024,327154437,1243844
Oceania,2020,6973459,156953
Oceania,2021,58656094,808427
Oceania,2022,3132066669,5581930
Oceania,2023,5173457438,10366974
Oceania,2024,3226900332,7019518
Oman,2020,18461938,166894
Oman,2021,85947607,1137409
Oman,2022,140309118,1682051
Oman,2023,145797114,1689220
Oman,2024,86680433,1004276
Pakistan,2020,64366052,1331270
Pakistan,2021,343925329,7667921
Pakistan,2022,556538520,11057468
Pakistan,2023,576566924,11187998
Pakistan,2024,342996927,6652352
Palau,2020,0,0
Palau,2021,832,0
Palau,2022,1647465,2058
Palau,2023,2226126,3285
Palau,2024,1370392,2094
Palestine,2020,9836204,78367
Palestine,2021,122235607,1306394
Palestine,2022,239610654,2038995
Palestine,2023,256678220,2083420
Palestine,2024,152600476,1238636
Panama,2020,21594139,431885
Panama,2021,146540594,2358872
Panama,2022,316033735,3013811
Panama,2023,378794019,3149512
Panama,2024,226609655,1888932
Papua New Guinea,2020,81110,927
Papua New Guinea,2021,5795786,67468
Papua New Guinea,2022,15876661,237078
Papua New Guinea,2023,17097016,244333
Papua New Guinea,2024,10169488,145390
Paraguay,2020,7680041,158764
Paraguay,2021,125016298,3832635
Paraguay,2022,242343564,6887826
Paraguay,2023,268326166,7250726
Paraguay,2024,159659703,4313960
Peru,2020,140210400,14856771
Peru,2021,675530177,62217492
Peru,2022,1358937054,77791595
Peru,2023,1641818842,80334697
Peru,2024,981887026,47937264
Philippines,2020,51654583,1012560
Philippines,2021,572393343,9689773
Philippines,2022,1368087835,21992847
Philippines,2023,1501456742,24240154
Philippines,2024,898366014,14508661
Pitcairn,2020,0,0
Pitcairn,2021,0,0
Pitcairn,2022,644,0
Pitcairn,2023,1460,0
Pitcairn,2024,868,0
Poland,2020,65985577,1333084
Poland,2021,970617933,24204017
Poland,2022,2154763690,41840734
Poland,2023,2372235424,43599996
Poland,2024,1445158095,26184002
Portugal,2020,26698548,607209
Portugal,2021,330555668,6043888
Portugal,2022,1650554307,8517427
Portugal,2023,2042488894,9830855
Portugal,2024,1225251795,6123304
Puerto Rico,2020,6055307,142459
Puerto Rico,2021,54585765,946905
Puerto Rico,2022,284580686,1685086
Puerto Rico,2023,449265397,2148106
Puerto Rico,2024,271838721,1288546
Qatar,2020,25951524,40301
Qatar,2021,76248739,177716
Qatar,2022,144728874,245740
Qatar,2023,185398076,251486
Qatar,2024,111651708,149730
Reunion,2020,765258,3178
Reunion,2021,12283992,82248
Reunion,2022,140722312,280191
Reunion,2023,180420019,335906
Reunion,2024,107327115,199857
Romania,2020,39515644,1187546
Romania,2021,415547285,12106446
Romania,2022,1067115036,23788347
Romania,2023,1245336393,24873032
Romania,2024,765325376,14927114
Russia,2020,286626680,4821111
Russia,2021,2228799630,56408507
Russia,2022,6652509243,136038159
Russia,2023,8325584740,145485151
Russia,2024,5223529581,87349817
Rwanda,2020,801497,5027
Rwanda,2021,19730768,253740
Rwanda,2022,47590475,531400
Rwanda,2023,48610091,535813
Rwanda,2024,28912772,318556
Saint Barthelemy,2020,12208,0
Saint Barthelemy,2021,411995,591
Saint Barthelemy,2022,1670057,1642
Saint Barthelemy,2023,2001991,1825
Saint Barthelemy,2024,1195019,1085
Saint Helena,2020,0,0
Saint Helena,2021,0,0
Saint Helena,2022,201544,0
Saint Helena,2023,790590,0
Saint Helena,2024,470022,0
Saint Kitts and Nevis,2020,4777,0
Saint Kitts and Nevis,2021,334302,2611
Saint Kitts and Nevis,2022,2169903,15561
Saint Kitts and Nevis,2023,2409301,16790
Saint Kitts and Nevis,2024,1433719,9982
Saint Lucia,2020,17702,144
Saint Lucia,2021,2440513,42422
Saint Lucia,2022,9374046,137173
Saint Lucia,2023,10983823,149398
Saint Lucia,2024,6564722,88970
Saint Martin (French part),2020,76463,1600
Saint Martin (French part),2021,937142,8987
Saint Martin (French part),2022,3922263,16307
Saint Martin (French part),2023,4489244,16790
Saint Martin (French part),2024,2674308,9982
Saint Pierre and Miquelon,2020,1802,0
Saint Pierre and Miquelon,2021,11897,0
Saint Pierre and Miquelon,2022,891478,357
Saint Pierre and Miquelon,2023,1248999,730
Saint Pierre and Miquelon,2024,743442,434
Saint Vincent and the Grenadines,2020,13679,0
Saint Vincent and the Grenadines,2021,967583,8340
Saint Vincent and the Grenadines,2022,3214279,39729
Saint Vincent and the Grenadines,2023,3516450,45127
Saint Vincent and the Grenadines,2024,2099258,26908
Samoa,2020,26,0
Samoa,2021,378,0
Samoa,2022,3888089,7070
Samoa,2023,6094607,11175
Samoa,2024,3697880,6727
San Marino,2020,242997,11842
San Marino,2021,1805682,31278
San Marino,2022,6519251,41958
San Marino,2023,8857815,45430
San Marino,2024,5488364,27342
Sao Tome and Principe,2020,190598,3438
Sao Tome and Principe,2021,925504,13956
Sao Tome and Principe,2022,2187765,26825
Sao Tome and Principe,2023,2380499,28906
Sao Tome and Principe,2024,1465954,17360
Saudi Arabia,2020,63386621,844903
Saudi Arabia,2021,171829135,2803370
Saudi Arabia,2022,281448539,3356081
Saudi Arabia,2023,305859665,3514805
Saudi Arabia,2024,182598773,2093182
Scotland,2020,0,0
Scotland,2021,0,0
Scotland,2022,0,0
Scotland,2023,0,0
Senegal,2020,2731776,50249
Senegal,2021,18970745,478720
Senegal,2022,31582403,715666
Senegal,2023,32481025,719394
Senegal,2024,19343332,427707
Serbia,2020,14627049,194507
Serbia,2021,277705094,2598399
Serbia,2022,759555351,5844639
Serbia,2023,924773683,6559725
Serbia,2024,560612990,3918369
Seychelles,2020,27893,0
Seychelles,2021,4813538,22974
Seychelles,2022,15905750,59486
Seychelles,2023,18587528,62780
Seychelles,2024,11215478,37324
Sierra Leone,2020,437351,15479
Sierra Leone,2021,1860831,36247
Sierra Leone,2022,2805182,45602
Sierra Leone,2023,2833651,45625
Sierra Leone,2024,1700843,27125
Singapore,2020,12265276,6690
Singapore,2021,36811132,57161
Singapore,2022,516267756,505494
Singapore,2023,901586636,666758
Singapore,2024,650630945,438788
Sint Maarten (Dutch part),2020,118115,4799
Sint Maarten (Dutch part),2021,1089628,15636
Sint Maarten (Dutch part),2022,3697598,31218
Sint Maarten (Dutch part),2023,4028862,33405
Sint Maarten (Dutch part),2024,2398067,19964
Slovakia,2020,7828662,60399
Slovakia,2021,149727702,4015851
Slovakia,2022,609662095,7202416
Slovakia,2023,681219166,7707851
Slovakia,2024,407419581,4605586
Slovenia,2020,5325967,123052
Slovenia,2021,96648135,1713427
Slovenia,2022,376245024,2838674
Slovenia,2023,489286321,3418727
Slovenia,2024,294206924,2177440
Solomon Islands,2020,995,0
Solomon Islands,2021,7082,0
Solomon Islands,2022,5897613,46396
Solomon Islands,2023,8257170,60077
Solomon Islands,2024,5632018,43183
Somalia,2020,794612,22867
Somalia,2021,5394237,281630
Somalia,2022,9711028,495267
Somalia,2023,9975874,496765
Somalia,2024,5931478,295337
South Africa,2020,118908466,3198087
South Africa,2021,786528968,24151763
South Africa,2022,1416799574,36651976
South Africa,2023,1485308315,37446608
South Africa,2024,883771395,22263115
South America,2020,1456051081,56260717
South America,2021,10772550752,330575923
South America,2022,21391438999,473144580
South America,2023,24942483364,493149886
South America,2024,14922046207,293793266
South Korea,2020,5792435,101284
South Korea,2021,78573378,814434
South Korea,2022,6232353239,7938169
South Korea,2023,11838825460,12724701
South Korea,2024,7502096441,7797678
South Sudan,2020,555118,10808
South Sudan,2021,3712784,40808
South Sudan,2022,6423121,50276
South Sudan,2023,6733429,51135
South Sudan,2024,4084217,31899
Spain,2020,189930779,9217276
Spain,2021,1483655476,29575399
Spain,2022,4501519955,40036523
Spain,2023,5083402369,44260667
Spain,2024,3033733780,26441884
Sri Lanka,2020,2007609,8690
Sri Lanka,2021,104860576,2060844
Sri Lanka,2022,239795027,5994844
Sri Lanka,2023,245416395,6154665
Sri Lanka,2024,145988850,3667226
Sudan,2020,2910926,186198
Sudan,2021,13109385,929258
Sudan,2022,22491274,1718998
Sudan,2023,23337663,1838367
Sudan,2024,13886481,1094982
Suriname,2020,726264,14861
Suriname,2021,8926994,200141
Suriname,2022,28655656,490941
Suriname,2023,30082493,512103
Suriname,2024,17901827,304922
Sweden,2020,29078214,1455113
Sweden,2021,358167007,5136297
Sweden,2022,896409207,6978965
Sweden,2023,989616067,8928229
Sweden,2024,597062756,5905696
Switzerland,2020,28053705,641382
Switzerland,2021,266255478,3733361
Switzerland,2022,1304879142,4837271
Switzerland,2023,1608474632,5120327
Switzerland,2024,966351344,3074890
Syria,2020,796016,40683
Syria,2021,9963515,654570
Syria,2022,20316829,1139811
Syria,2023,20959395,1154495
Syria,2024,12460791,686371
Taiwan,2020,0,0
Taiwan,2021,0,0
Taiwan,2022,0,0
Taiwan,2023,0,0
Tajikistan,2020,1958321,15766
Tajikistan,2021,5565272,38828
Tajikistan,2022,6482770,45625
Tajikistan,2023,6491890,45625
Tajikistan,2024,3859562,27125
Tanzania,2020,127124,5215
Tanzania,2021,3884670,108400
Tanzania,2022,13403373,300785
Tanzania,2023,15696511,308783
Tanzania,2024,9379895,183582
Thailand,2020,950547,14944
Thailand,2021,272843666,2623840
Thailand,2022,1486657277,10619503
Thailand,2023,1731930811,12488203
Thailand,2024,1036498056,7510232
Togo,2020,368671,8495
Togo,2021,5825371,56002
Togo,2022,13730940,101137
Togo,2023,14408469,105850
Togo,2024,8577726,62930
Tokelau,2020,0,0
Tokelau,2021,0,0
Tokelau,2022,70,0
Tokelau,2023,14976,0
Tokelau,2024,17360,0
Tonga,2020,0,0
Tonga,2021,62,0
Tonga,2022,3797438,3234
Tonga,2023,6135278,4380
Tonga,2024,3680354,2604
Trinidad and Tobago,2020,664281,12511
Trinidad and Tobago,2021,11940246,326574
Trinidad and Tobago,2022,57411573,1426791
Trinidad and Tobago,2023,69590966,1596351
Trinidad and Tobago,2024,41554632,952630
Tunisia,2020,7182458,209268
Tunisia,2021,169156450,5905553
Tunisia,2022,385823945,10385530
Tunisia,2023,420645490,10727341
Tunisia,2024,250279337,6384791
Turkey,2020,162944585,1982646
Turkey,2021,1985536811,17896495
Turkey,2022,5549940664,35631587
Turkey,2023,6206707517,37017935
Turkey,2024,3690022343,22007923
Turkmenistan,2020,0,0
Turkmenistan,2021,0,0
Turkmenistan,2022,0,0
Turkmenistan,2023,0,0
Turkmenistan,2024,0,0
Turks and Caicos Islands,2020,96039,891
Turks and Caicos Islands,2021,883617,6461
Turks and Caicos Islands,2022,2205498,12899
Turks and Caicos Islands,2023,2412575,14110
Turks and Caicos Islands,2024,1465321,8680
Tuvalu,2020,0,0
Tuvalu,2021,0,0
Tuvalu,2022,124558,0
Tuvalu,2023,1047777,197
Tuvalu,2024,638631,217
Uganda,2020,1867947,19060
Uganda,2021,29261713,610572
Uganda,2022,60483890,1312021
Uganda,2023,62499034,1325526
Uganda,2024,37351664,788144
Ukraine,2020,59741244,815548
Ukraine,2021,786226446,17293648
Ukraine,2022,1787872932,38317076
Ukraine,2023,1997797002,39982660
Ukraine,2024,1200217739,23852495
United Arab Emirates,2020,21451362,96963
United Arab Emirates,2021,210832055,617702
United Arab Emirates,2022,345759531,843157
United Arab Emirates,2023,387729502,857336
United Arab Emirates,2024,231545510,509733
United Kingdom,2020,168208747,15326920
United Kingdom,2021,2249894276,56011658
United Kingdom,2022,7960609419,72966016
United Kingdom,2023,8981674841,82930308
United Kingdom,2024,5407985935,50368304
United States,2020,1644172199,46133261
United States,2021,12988717263,222725344
United States,2022,31284214162,364341431
United States,2023,37551587940,412164583
United States,2024,22445791893,256856715
United States Virgin Islands,2020,208072,3398
United States Virgin Islands,2021,1669546,16401
United States Virgin Islands,2022,7114400,41983
United States Virgin Islands,2023,9149231,47788
United States Virgin Islands,2024,5509413,28644
Upper-middle-income countries,2020,2445388109,90157312
Upper-middle-income countries,2021,20758468883,589120199
Upper-middle-income countries,2022,49418287358,948766508
Upper-middle-income countries,2023,90853691871,1024899605
Upper-middle-income countries,2024,54561590563,612621029
Uruguay,2020,675129,11425
Uruguay,2021,97023993,1441304
Uruguay,2022,327001609,2632800
Uruguay,2023,378263140,2781494
Uruguay,2024,225778240,1663432
Uzbekistan,2020,703,0
Uzbekistan,2021,16606212,104063
Uzbekistan,2022,57164447,365917
Uzbekistan,2023,62622200,370840
Uzbekistan,2024,37992577,220472
Vanuatu,2020,47,0
Vanuatu,2021,1122,0
Vanuatu,2022,2932349,3591
Vanuatu,2023,4386249,5110
Vanuatu,2024,2608123,3038
Vatican,2020,4232,0
Vatican,2021,9490,0
Vatican,2022,9490,0
Vatican,2023,9490,0
Vatican,2024,5642,0
Venezuela,2020,11734033,101349
Venezuela,2021,97932863,1120670
Venezuela,2022,191354132,2082695
Venezuela,2023,201624881,2136509
Venezuela,2024,119934815,1270752
Vietnam,2020,213595,4753
Vietnam,2021,130419836,2837603
Vietnam,2022,3366096442,15298473
Vietnam,2023,4229681578,15767586
Vietnam,2024,2522408000,9375702
Wales,2020,0,0
Wales,2021,0,0
Wales,2022,0,0
Wales,2023,0,0
Wallis and Futuna,2020,153,0
Wallis and Futuna,2021,129356,1512
Wallis and Futuna,2022,418199,2555
Wallis and Futuna,2023,1277942,2766
Wallis and Futuna,2024,802900,1891
Western Sahara,2022,0,0
World,2020,7358565981,235143772
World,2021,66122689186,1416783607
World,2022,1.94886E+11,2300132523
World,2023,2.79135E+11,2529520758
World,2024,1.68194E+11,1528380325
Yemen,2020,374256,106516
Yemen,2021,2372121,475483
Yemen,2022,4274917,778045
Yemen,2023,4359925,788035
Yemen,2024,2592065,468503
Zambia,2020,2361819,52044
Zambia,2021,51755293,836696
Zambia,2022,117456150,1452522
Zambia,2023,126212314,1481986
Zambia,2024,75847554,883093
Zimbabwe,2020,1283963,36131
Zimbabwe,2021,29347347,1011231
Zimbabwe,2022,91006654,2007942
Zimbabwe,2023,96667194,2079558
